"agency_cd","site_no","dateTime","X_00045_00006","X_00045_00006_cd","X_00060_00003","X_00060_00003_cd","X_00065_00003","X_00065_00003_cd","tz_cd"
"USGS","03456500",1954-08-03,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-04,NA,NA,25,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-05,NA,NA,23,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-06,NA,NA,36,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-07,NA,NA,33,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-08,NA,NA,26,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-09,NA,NA,35,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-10,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-11,NA,NA,24,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-12,NA,NA,23,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-13,NA,NA,26,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-14,NA,NA,24,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-15,NA,NA,22,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-16,NA,NA,21,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-17,NA,NA,22,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-18,NA,NA,22,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-19,NA,NA,21,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-20,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-21,NA,NA,24,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-22,NA,NA,25,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-23,NA,NA,26,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-24,NA,NA,35,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-25,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-26,NA,NA,28,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-27,NA,NA,25,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-28,NA,NA,25,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-29,NA,NA,26,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-30,NA,NA,26,"A",NA,NA,"UTC"
"USGS","03456500",1954-08-31,NA,NA,20,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-01,NA,NA,20,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-02,NA,NA,19,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-03,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-04,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-05,NA,NA,17,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-06,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-07,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-08,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-09,NA,NA,17,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-10,NA,NA,19,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-11,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-12,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-13,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-14,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-15,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-16,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-17,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-18,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-19,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-20,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-21,NA,NA,17,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-22,NA,NA,18,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-23,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-24,NA,NA,16,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-25,NA,NA,15,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-26,NA,NA,14,"A",NA,NA,"UTC"
"USGS","03456500",1954-09-27,NA,NA,14,"A",NA,NA,"UTC"
